classes (9): ['Tomato___Early_blight', 'Tomato___Late_blight', 'Tomato___Leaf_Mold', 'Tomato___Septoria_leaf_spot', 'Tomato___Spider_mites', 'Tomato___Target_Spot', 'Tomato___Tomato_Yellow_Leaf_Curl_Virus', 'Tomato___Tomato_mosaic_virus', 'Tomato___healthy']
train=7761 val=1941 test=1941
trainable params: 295779
epoch 63/200  train_loss=0.0453 train_acc=0.9847  val_loss=0.1970 val_acc=0.9557
epoch 64/200  train_loss=0.0296 train_acc=0.9901  val_loss=0.1116 val_acc=0.9748
epoch 65/200  train_loss=0.0332 train_acc=0.9889  val_loss=0.1644 val_acc=0.9629
epoch 66/200  train_loss=0.0205 train_acc=0.9930  val_loss=0.1399 val_acc=0.9753
epoch 67/200  train_loss=0.0315 train_acc=0.9890  val_loss=0.1637 val_acc=0.9634
epoch 68/200  train_loss=0.0273 train_acc=0.9906  val_loss=0.1641 val_acc=0.9598
epoch 69/200  train_loss=0.0217 train_acc=0.9923  val_loss=0.2441 val_acc=0.9454
epoch 70/200  train_loss=0.0229 train_acc=0.9918  val_loss=0.1292 val_acc=0.9727
epoch 71/200  train_loss=0.0238 train_acc=0.9918  val_loss=0.1441 val_acc=0.9686
epoch 72/200  train_loss=0.0236 train_acc=0.9921  val_loss=0.1505 val_acc=0.9711
epoch 73/200  train_loss=0.0295 train_acc=0.9910  val_loss=0.1410 val_acc=0.9753
epoch 74/200  train_loss=0.0279 train_acc=0.9894  val_loss=0.1943 val_acc=0.9562
epoch 75/200  train_loss=0.0187 train_acc=0.9937  val_loss=0.1408 val_acc=0.9763
epoch 76/200  train_loss=0.0237 train_acc=0.9915  val_loss=0.1427 val_acc=0.9753
epoch 77/200  train_loss=0.0291 train_acc=0.9905  val_loss=0.1607 val_acc=0.9722
epoch 78/200  train_loss=0.0261 train_acc=0.9916  val_loss=0.2342 val_acc=0.9583
epoch 79/200  train_loss=0.0247 train_acc=0.9914  val_loss=0.1449 val_acc=0.9665
epoch 80/200  train_loss=0.0189 train_acc=0.9934  val_loss=0.1363 val_acc=0.9758
epoch 81/200  train_loss=0.0169 train_acc=0.9945  val_loss=0.1612 val_acc=0.9753
epoch 82/200  train_loss=0.0146 train_acc=0.9952  val_loss=0.1386 val_acc=0.9753
epoch 83/200  train_loss=0.0274 train_acc=0.9910  val_loss=0.1256 val_acc=0.9763
epoch 84/200  train_loss=0.0215 train_acc=0.9932  val_loss=0.1432 val_acc=0.9763
epoch 85/200  train_loss=0.0212 train_acc=0.9925  val_loss=0.1378 val_acc=0.9778
epoch 86/200  train_loss=0.0132 train_acc=0.9956  val_loss=0.1519 val_acc=0.9717
epoch 87/200  train_loss=0.0192 train_acc=0.9939  val_loss=0.1695 val_acc=0.9696
